name,birth,start_year,end_year,career,games,birth_month,position
백인천,1943-11-27,1982,1984,3,117,11,batter
이춘근,1948-03-01,1982,1982,1,3,3,batter
윤동균,1949-07-02,1982,1989,8,594,7,batter
김우열,1949-09-09,1982,1986,5,342,9,batter
임신근,1949-11-28,1982,1982,1,2,11,batter
박경호,1951-01-15,1982,1982,1,12,1,pitcher
권두조,1951-06-10,1982,1987,6,587,6,batter
김봉연,1952-01-13,1982,1988,7,630,1,batter
이종도,1952-05-22,1982,1987,6,482,5,batter
김성관,1952-07-06,1982,1984,3,170,7,batter
황태환,1952-08-06,1982,1989,8,199,8,pitcher
송영운,1952-12-15,1982,1988,7,354,12,batter
이홍범,1953-02-10,1982,1985,4,288,2,batter
오문현,1953-02-13,1982,1987,6,74,2,pitcher
박준영,1953-02-20,1982,1984,3,133,2,batter
정현발,1953-02-20,1982,1988,7,477,2,batter
김정수,1953-04-02,1982,1986,5,345,4,batter
계형철,1953-04-03,1982,1991,10,254,4,pitcher
황규봉,1953-04-24,1982,1986,5,154,4,pitcher
천보성,1953-06-11,1982,1984,3,171,6,batter
김구길,1953-06-16,1982,1982,1,32,6,batter
최옥규,1953-07-17,1982,1982,1,13,7,pitcher
이성득,1953-07-21,1982,1982,1,52,7,batter
김인식,1953-11-09,1982,1988,7,663,11,batter
김봉기,1953-12-23,1982,1987,6,145,12,batter
김일환,1954-01-11,1982,1989,8,446,1,batter
권영호,1954-01-23,1982,1989,8,288,1,pitcher
천창호,1954-02-13,1982,1989,8,168,2,pitcher
배대웅,1954-03-02,1982,1986,5,355,3,batter
정구왕,1954-03-26,1982,1986,5,288,3,batter
김유동,1954-04-09,1982,1985,4,135,4,batter
방기만,1954-05-15,1982,1982,1,8,5,pitcher
김재박,1954-05-23,1982,1992,11,966,5,batter
이광권,1954-06-28,1982,1985,4,71,6,pitcher
정순명,1954-06-30,1982,1985,4,53,6,pitcher
조흥운,1954-08-13,1982,1986,5,282,8,batter
김호인,1954-09-12,1982,1982,1,64,9,batter
손상대,1954-10-20,1982,1985,4,31,10,batter
함학수,1955-01-02,1982,1987,6,481,1,batter
최순하,1955-01-15,1982,1982,1,37,1,batter
이선희,1955-02-14,1982,1987,6,133,2,pitcher
김무관,1955-03-02,1982,1985,4,121,3,batter
김한근,1955-03-05,1982,1990,9,575,3,batter
김문희,1955-03-23,1982,1985,4,78,3,pitcher
김바위,1955-04-08,1982,1991,10,677,4,batter
김덕열,1955-04-23,1982,1984,3,28,4,pitcher
박찬,1955-04-26,1982,1986,5,121,4,batter
배수희,1955-04-30,1982,1982,1,22,4,batter
하기룡,1955-05-08,1982,1989,7,181,5,pitcher
김준환,1955-05-19,1982,1989,8,668,5,batter
최정우,1955-06-02,1982,1984,3,105,6,batter
김용운,1955-06-05,1982,1990,9,592,6,batter
신태중,1955-06-27,1982,1986,5,68,6,pitcher
이광은,1955-06-28,1982,1991,10,923,6,batter
서정환,1955-07-05,1982,1989,8,712,7,batter
박상열,1955-08-05,1982,1988,7,153,8,pitcher
김용희,1955-10-04,1982,1989,8,534,10,batter
유지훤,1955-10-04,1982,1988,7,627,10,batter
신언호,1955-12-18,1982,1990,9,729,12,batter
차동열,1956-01-17,1982,1991,9,432,1,batter
김우근,1956-01-26,1982,1987,6,382,1,batter
김현홍,1956-02-13,1982,1983,2,25,2,pitcher
정영기,1956-02-29,1982,1990,9,744,2,batter
박철순,1956-03-12,1982,1996,13,231,3,pitcher
이진우,1956-03-18,1982,1987,6,124,3,pitcher
손상득,1956-04-03,1982,1988,5,231,4,batter
김용달,1956-05-10,1982,1988,7,313,5,batter
유승안,1956-06-01,1982,1991,10,787,6,batter
최정기,1956-07-16,1982,1983,2,29,7,batter
허규옥,1956-08-08,1982,1992,11,833,8,batter
유종겸,1956-09-14,1982,1990,9,269,9,pitcher
김일권,1956-09-20,1982,1991,10,842,9,batter
차준섭,1956-10-16,1982,1985,3,17,10,pitcher
정학수,1956-12-04,1982,1989,6,355,12,batter
금광옥,1956-12-19,1982,1988,7,413,12,batter
김경훈,1957-01-10,1982,1982,1,29,1,batter
강만식,1957-02-15,1982,1989,8,151,2,pitcher
이철성,1957-03-14,1982,1986,3,108,3,batter
감사용,1957-03-23,1982,1986,5,61,3,pitcher
박정환,1957-05-25,1982,1992,9,385,5,batter
김종윤,1957-06-19,1982,1986,5,255,6,batter
차영화,1957-06-27,1982,1989,8,526,6,batter
홍순만,1957-07-11,1982,1986,2,14,7,batter
김휘욱,1957-08-11,1982,1982,1,34,8,batter
성낙수,1957-08-12,1982,1986,5,71,8,pitcher
송진호,1957-08-16,1982,1982,1,35,8,batter
박석채,1957-08-26,1982,1983,2,17,8,pitcher
선우대영,1957-09-12,1982,1983,2,44,9,pitcher
김용철,1957-09-21,1982,1992,11,1024,9,batter
조호,1957-09-22,1982,1985,3,73,9,batter
박재천,1957-10-10,1982,1986,2,14,10,batter
장태수,1957-10-15,1982,1992,11,991,10,batter
양세종,1958-01-17,1982,1990,7,493,1,batter
강철원,1958-01-27,1982,1986,5,39,1,pitcher
김용남,1958-02-26,1982,1988,7,198,2,pitcher
이윤섭,1958-03-01,1982,1982,1,25,3,batter
이근식,1958-03-02,1982,1982,1,20,3,batter
인호봉,1958-03-04,1982,1985,4,60,3,pitcher
