"선수명","생년월일","입단연도","은퇴연도","경력","경기","생월","포지션"
"백인천",1943-11-27,1982,1984,3,117,11,"타자"
"이춘근",1948-03-01,1982,1982,1,3,3,"타자"
"윤동균",1949-07-02,1982,1989,8,594,7,"타자"
"김우열",1949-09-09,1982,1986,5,342,9,"타자"
"임신근",1949-11-28,1982,1982,1,2,11,"타자"
"박경호",1951-01-15,1982,1982,1,12,1,"투수"
"권두조",1951-06-10,1982,1987,6,587,6,"타자"
"김봉연",1952-01-13,1982,1988,7,630,1,"타자"
"이종도",1952-05-22,1982,1987,6,482,5,"타자"
"김성관",1952-07-06,1982,1984,3,170,7,"타자"
"황태환",1952-08-06,1982,1989,8,199,8,"투수"
"송영운",1952-12-15,1982,1988,7,354,12,"타자"
"이홍범",1953-02-10,1982,1985,4,288,2,"타자"
"오문현",1953-02-13,1982,1987,6,74,2,"투수"
"박준영",1953-02-20,1982,1984,3,133,2,"타자"
"정현발",1953-02-20,1982,1988,7,477,2,"타자"
"김정수",1953-04-02,1982,1986,5,345,4,"타자"
"계형철",1953-04-03,1982,1991,10,254,4,"투수"
"황규봉",1953-04-24,1982,1986,5,154,4,"투수"
"천보성",1953-06-11,1982,1984,3,171,6,"타자"
"김구길",1953-06-16,1982,1982,1,32,6,"타자"
"최옥규",1953-07-17,1982,1982,1,13,7,"투수"
"이성득",1953-07-21,1982,1982,1,52,7,"타자"
"김인식",1953-11-09,1982,1988,7,663,11,"타자"
"김봉기",1953-12-23,1982,1987,6,145,12,"타자"
"김일환",1954-01-11,1982,1989,8,446,1,"타자"
"권영호",1954-01-23,1982,1989,8,288,1,"투수"
"천창호",1954-02-13,1982,1989,8,168,2,"투수"
"배대웅",1954-03-02,1982,1986,5,355,3,"타자"
"정구왕",1954-03-26,1982,1986,5,288,3,"타자"
"김유동",1954-04-09,1982,1985,4,135,4,"타자"
"방기만",1954-05-15,1982,1982,1,8,5,"투수"
"김재박",1954-05-23,1982,1992,11,966,5,"타자"
"이광권",1954-06-28,1982,1985,4,71,6,"투수"
"정순명",1954-06-30,1982,1985,4,53,6,"투수"
"조흥운",1954-08-13,1982,1986,5,282,8,"타자"
"김호인",1954-09-12,1982,1982,1,64,9,"타자"
"손상대",1954-10-20,1982,1985,4,31,10,"타자"
"함학수",1955-01-02,1982,1987,6,481,1,"타자"
"최순하",1955-01-15,1982,1982,1,37,1,"타자"
"이선희",1955-02-14,1982,1987,6,133,2,"투수"
"김무관",1955-03-02,1982,1985,4,121,3,"타자"
"김한근",1955-03-05,1982,1990,9,575,3,"타자"
"김문희",1955-03-23,1982,1985,4,78,3,"투수"
"김바위",1955-04-08,1982,1991,10,677,4,"타자"
"김덕열",1955-04-23,1982,1984,3,28,4,"투수"
"박찬",1955-04-26,1982,1986,5,121,4,"타자"
"배수희",1955-04-30,1982,1982,1,22,4,"타자"
"하기룡",1955-05-08,1982,1989,7,181,5,"투수"
"김준환",1955-05-19,1982,1989,8,668,5,"타자"
"최정우",1955-06-02,1982,1984,3,105,6,"타자"
"김용운",1955-06-05,1982,1990,9,592,6,"타자"
"신태중",1955-06-27,1982,1986,5,68,6,"투수"
"이광은",1955-06-28,1982,1991,10,923,6,"타자"
"서정환",1955-07-05,1982,1989,8,712,7,"타자"
"박상열",1955-08-05,1982,1988,7,153,8,"투수"
"김용희",1955-10-04,1982,1989,8,534,10,"타자"
"유지훤",1955-10-04,1982,1988,7,627,10,"타자"
"신언호",1955-12-18,1982,1990,9,729,12,"타자"
"차동열",1956-01-17,1982,1991,9,432,1,"타자"
"김우근",1956-01-26,1982,1987,6,382,1,"타자"
"김현홍",1956-02-13,1982,1983,2,25,2,"투수"
"정영기",1956-02-29,1982,1990,9,744,2,"타자"
"박철순",1956-03-12,1982,1996,13,231,3,"투수"
"이진우",1956-03-18,1982,1987,6,124,3,"투수"
"손상득",1956-04-03,1982,1988,5,231,4,"타자"
"김용달",1956-05-10,1982,1988,7,313,5,"타자"
"유승안",1956-06-01,1982,1991,10,787,6,"타자"
"최정기",1956-07-16,1982,1983,2,29,7,"타자"
"허규옥",1956-08-08,1982,1992,11,833,8,"타자"
"유종겸",1956-09-14,1982,1990,9,269,9,"투수"
"김일권",1956-09-20,1982,1991,10,842,9,"타자"
"차준섭",1956-10-16,1982,1985,3,17,10,"투수"
"정학수",1956-12-04,1982,1989,6,355,12,"타자"
"금광옥",1956-12-19,1982,1988,7,413,12,"타자"
"김경훈",1957-01-10,1982,1982,1,29,1,"타자"
"강만식",1957-02-15,1982,1989,8,151,2,"투수"
"이철성",1957-03-14,1982,1986,3,108,3,"타자"
"감사용",1957-03-23,1982,1986,5,61,3,"투수"
"박정환",1957-05-25,1982,1992,9,385,5,"타자"
"김종윤",1957-06-19,1982,1986,5,255,6,"타자"
"차영화",1957-06-27,1982,1989,8,526,6,"타자"
"홍순만",1957-07-11,1982,1986,2,14,7,"타자"
"김휘욱",1957-08-11,1982,1982,1,34,8,"타자"
"성낙수",1957-08-12,1982,1986,5,71,8,"투수"
"송진호",1957-08-16,1982,1982,1,35,8,"타자"
"박석채",1957-08-26,1982,1983,2,17,8,"투수"
"선우대영",1957-09-12,1982,1983,2,44,9,"투수"
"김용철",1957-09-21,1982,1992,11,1024,9,"타자"
"조호",1957-09-22,1982,1985,3,73,9,"타자"
"박재천",1957-10-10,1982,1986,2,14,10,"타자"
"장태수",1957-10-15,1982,1992,11,991,10,"타자"
"양세종",1958-01-17,1982,1990,7,493,1,"타자"
"강철원",1958-01-27,1982,1986,5,39,1,"투수"
"김용남",1958-02-26,1982,1988,7,198,2,"투수"
"이윤섭",1958-03-01,1982,1982,1,25,3,"타자"
"이근식",1958-03-02,1982,1982,1,20,3,"타자"
"인호봉",1958-03-04,1982,1985,4,60,3,"투수"
"김진철",1958-04-18,1982,1982,1,29,4,"타자"
"노상수",1958-05-05,1982,1991,8,176,5,"투수"
"김성한",1958-05-18,1982,1995,14,1338,5,"타자"
"김용만",1958-07-26,1982,1982,1,56,7,"타자"
"박영진",1958-07-27,1982,1984,2,7,7,"투수"
"장정기",1958-08-10,1982,1985,4,134,8,"타자"
"임정면",1958-09-17,1982,1988,7,160,9,"타자"
"이만수",1958-09-19,1982,1997,16,1449,9,"타자"
"박용성",1958-09-30,1982,1988,7,359,9,"타자"
"김경문",1958-11-01,1982,1991,10,700,11,"타자"
"김광수",1959-01-03,1982,1992,11,1046,1,"타자"
"박전섭",1959-02-04,1982,1985,4,68,2,"타자"
"조충열",1959-02-25,1982,1990,9,564,2,"타자"
"최영환",1959-02-28,1982,1989,5,134,2,"타자"
"김재현",1959-03-03,1982,1986,5,100,3,"투수"
"이경수",1959-05-27,1982,1982,1,28,5,"타자"
"양승관",1959-06-02,1982,1990,8,444,6,"타자"
"이근식",1959-06-23,1982,1986,5,249,6,"타자"
"김재상",1959-07-06,1982,1991,8,391,7,"타자"
"이길환",1959-07-15,1982,1990,9,152,7,"투수"
"엄태섭",1959-07-17,1982,1984,3,44,7,"타자"
"허운",1959-08-18,1982,1984,3,76,8,"타자"
"김종모",1959-11-01,1982,1992,11,850,11,"타자"
"김경남",1959-11-05,1982,1988,7,360,11,"타자"
"정종현",1959-12-05,1982,1987,6,147,12,"타자"
"오대석",1960-01-02,1982,1991,10,723,1,"타자"
"방수원",1960-01-04,1982,1989,8,197,1,"투수"
"정문섭",1960-04-04,1982,1985,3,75,4,"타자"
"김동철",1960-06-05,1982,1982,1,32,6,"투수"
"정혁진",1960-07-05,1982,1983,2,95,7,"타자"
"조범현",1960-10-01,1982,1992,11,615,10,"타자"
"송경섭",1960-11-26,1982,1982,1,53,11,"타자"
"이상윤",1960-12-21,1982,1982,1,2,12,"타자"
"신경식",1961-08-19,1982,1995,14,1364,8,"타자"
"이찬선",1962-05-21,1982,1982,1,22,5,"타자"
"김진홍",1962-09-10,1982,1989,6,55,9,"타자"
"문주모",1962-11-14,1982,1982,1,11,11,"타자"
