name,birth,position,height,weight,start_year,end_year,career,games,goals,assist,birth_month
김철수,1952/07/06,DF,176,65,1983,1986,4,47,0,1,7
박상인,1952/11/15,MF,175,65,1983,1987,5,86,20,7,11
김진옥,1952/12/17,DF,179,73,1983,1985,3,40,0,0,12
황정연,1953/03/13,DF,176,74,1983,1985,3,59,0,3,3
김희태,1953/07/10,DF,170,66,1983,1983,1,2,0,0,7
박창선,1954/02/02,MF,170,65,1983,1987,5,73,11,17,2
조광래,1954/03/19,MF,169,65,1983,1987,5,46,3,4,3
백성진,1954/05/12,DF,177,73,1983,1983,1,14,0,0,5
최종덕,1954/06/24,DF,177,75,1983,1985,3,58,5,1,6
김성부,1954/07/09,DF,174,65,1983,1984,2,33,0,0,7
김강남,1954/07/19,MF,172,65,1983,1984,2,16,1,2,7
김성남,1954/07/19,MF,170,63,1983,1985,3,18,1,0,7
이강조,1954/10/27,MF,168,63,1983,1985,3,50,7,11,10
김민혜,1954/12/04,DF,179,73,1983,1985,3,26,0,3,12
김현복,1954/12/09,FW,174,70,1983,1985,3,47,2,2,12
정섭의,1954/12/20,DF,180,72,1983,1984,2,22,0,0,12
홍성호,1954/12/20,DF,174,72,1983,1985,3,40,0,0,12
김홍주,1955/03/21,DF,181,72,1983,1984,2,20,0,0,3
박종원,1955/04/12,FW,179,75,1983,1985,3,22,1,1,4
박성화,1955/05/07,NA,NA,70,1983,1987,4,82,9,4,5
이재일,1955/05/30,GK,185,80,1983,1984,2,14,0,0,5
최창수,1955/11/20,MF,178,68,1983,1984,2,16,1,0,11
김정희,1956/01/13,MF,175,65,1983,1985,3,50,3,4,1
이용성,1956/03/27,DF,NA,NA,1983,1983,1,6,0,0,3
강창근,1956/04/28,GK,184,74,1983,1983,1,8,0,0,4
김창호,1956/06/06,FW,174,68,1983,1984,2,21,0,5,6
조태천,1956/07/19,MF,170,64,1983,1984,2,32,1,3,7
이장수,1956/10/15,DF,178,74,1983,1986,4,58,8,3,10
이정일,1956/11/04,FW,178,72,1983,1985,3,42,5,4,11
김형남,1956/12/18,MF,174,62,1983,1984,2,26,0,0,12
최경식,1957/02/01,MF,180,76,1983,1985,3,43,1,0,2
강경호,1957/02/02,FW,173,73,1983,1984,2,16,3,0,2
손창후,1957/02/05,DF,177,69,1983,1983,1,10,0,1,2
이영길,1957/03/01,FW,175,66,1983,1984,2,2,0,0,3
신윤기,1957/03/23,DF,172,67,1983,1983,1,8,0,1,3
유태목,1957/04/30,DF,177,70,1983,1987,5,95,4,1,4
박무홍,1957/08/19,MF,173,63,1983,1984,2,8,0,1,8
이용설,1958/01/26,FW,175,70,1983,1984,2,4,0,0,1
김기효,1958/02/09,FW,179,75,1983,1984,2,10,1,0,2
김태수,1958/02/25,DF,167,68,1983,1985,3,24,0,0,2
신문선,1958/03/11,FW,173,67,1983,1985,3,64,3,4,3
박철웅,1958/04/15,FW,174,71,1983,1984,2,5,0,0,4
이성길,1958/04/20,MF,177,70,1983,1985,2,14,0,1,4
이강석,1958/05/21,FW,174,72,1983,1985,3,42,4,4,5
김용해,1958/05/24,MF,170,62,1983,1985,3,13,1,1,5
조병득,1958/05/26,GK,183,83,1983,1990,7,134,0,1,5
진장상곤,1958/06/20,DF,183,78,1983,1989,7,128,0,3,6
안성열,1958/08/01,DF,180,76,1983,1985,2,28,0,1,8
천병호,1958/08/10,FW,166,64,1983,1983,1,12,0,0,8
오석재,1958/10/13,FW,185,80,1983,1985,3,55,18,6,10
이부열,1958/10/16,MF,174,65,1983,1988,6,109,6,4,10
오필환,1958/11/12,FW,187,76,1983,1985,3,34,5,1,11
최기봉,1958/11/13,MF,180,74,1983,1987,5,124,0,0,11
유순열,1959/01/07,MF,176,70,1983,1983,1,1,0,0,1
권오손,1959/02/03,DF,175,68,1983,1988,6,60,0,1,2
이춘석,1959/02/03,FW,177,71,1983,1987,4,67,16,4,2
안병태,1959/02/22,DF,180,70,1983,1986,3,36,0,0,2
김주훈,1959/02/27,DF,177,65,1983,1983,1,5,0,1,2
임용주,1959/03/08,GK,183,75,1983,1983,1,4,0,0,3
강신우,1959/03/18,FW,183,75,1983,1987,5,102,7,4,3
신재흠,1959/03/26,DF,174,68,1983,1984,2,28,1,2,3
장외룡,1959/04/05,DF,176,69,1983,1986,4,77,0,2,4
최강희,1959/04/12,NA,175,75,1983,1992,10,205,10,22,4
이재희,1959/04/15,DF,176,70,1983,1992,10,198,1,7,4
정원서,1959/04/16,FW,168,67,1983,1983,1,4,0,0,4
이태엽,1959/06/16,FW,181,75,1983,1984,2,32,3,0,6
김종만,1959/06/30,DF,175,67,1983,1987,4,42,0,0,6
정해원,1959/07/01,FW,178,76,1983,1991,9,154,34,11,7
이태희,1959/08/10,FW,176,70,1983,1984,2,28,2,1,8
유종완,1959/08/12,MF,168,66,1983,1985,3,13,0,0,8
전차식,1959/09/27,DF,178,70,1983,1986,4,74,0,3,9
이길용,1959/09/29,FW,172,62,1983,1989,7,92,17,12,9
김대환,1959/10/23,MF,182,74,1983,1983,1,4,0,0,10
김명관,1959/11/27,MF,178,73,1983,1987,5,104,1,4,11
김태형,1960/02/18,GK,182,77,1983,1984,2,18,0,0,2
임고석,1960/02/18,FW,176,70,1983,1990,8,111,24,4,2
민진홍,1960/03/11,DF,176,70,1983,1988,6,74,2,3,3
김종설,1960/03/16,FW,183,73,1983,1983,1,1,0,0,3
김용세,1960/04/21,FW,192,84,1983,1991,9,165,53,18,4
박복준,1960/04/21,DF,179,75,1983,1986,3,16,1,0,4
현기호,1960/05/12,MF,162,68,1983,1987,5,60,5,6,5
오연교,1960/05/25,GK,185,85,1983,1990,8,97,0,1,5
정성교,1960/05/30,GK,183,78,1983,1989,6,70,0,0,5
박윤기,1960/06/10,FW,170,64,1983,1987,5,97,21,10,6
김희철,1960/09/03,MF,175,68,1983,1985,3,32,7,5,9
황석근,1960/09/03,FW,178,69,1983,1986,4,58,8,6,9
임석현,1960/10/13,FW,176,71,1983,1985,3,36,6,3,10
이천흥,1960/10/22,MF,172,65,1983,1986,4,37,1,2,10
김석원,1960/11/07,FW,174,64,1983,1985,3,28,8,1,11
이태호,1961/01/29,FW,170,72,1983,1992,10,181,57,27,1
최상국,1961/02/15,FW,173,68,1983,1991,9,159,32,22,2
김광훈,1961/02/20,DF,NA,NA,1983,1985,3,38,0,1,2
한태진,1961/04/08,DF,175,68,1983,1983,1,1,0,0,4
변병주,1961/04/26,FW,174,69,1983,1991,9,131,28,16,4
정기동,1961/05/13,GK,182,69,1983,1991,9,135,0,0,5
김만수,1961/06/19,FW,175,64,1983,1985,2,5,0,0,6
김경호,1961/10/17,MF,168,64,1983,1988,4,57,8,3,10
백남수,1961/11/10,MF,170,65,1983,1986,4,58,3,3,11
최순호,1962/01/10,FW,185,78,1983,1991,9,100,23,19,1
김완수,1962/01/13,FW,168,64,1983,1986,4,54,7,2,1
전종선,1962/02/15,DF,175,68,1983,1985,3,19,0,2,2
최인영,1962/03/05,GK,184,73,1983,1996,14,176,0,0,3
